ODIS_ID,ODIS URI,RECORD_OMSCHRIJVING,Soort_N,Waarde_N
93,http://www.odis.be/lnk/PS_93,Charles Van Praet (1804-1882),F1N1,"Van Praet, Karel"
93,http://www.odis.be/lnk/PS_93,Charles Van Praet (1804-1882),F1N5,"Van Praet, Charles"
93,http://www.odis.be/lnk/PS_93,Charles Van Praet (1804-1882),F4N1,"Van Praet-Coget, Karel"
93,http://www.odis.be/lnk/PS_93,Charles Van Praet (1804-1882),F4N5,"Van Praet-Coget, Charles"
93,http://www.odis.be/lnk/PS_93,Charles Van Praet (1804-1882),F5N1,"Vanpraet, Karel"
93,http://www.odis.be/lnk/PS_93,Charles Van Praet (1804-1882),F5N5,"Vanpraet, Charles"
94,http://www.odis.be/lnk/PS_94,Edouard de Cuyper (1808-1884),F1N1,"de Cuyper, Edouard"
94,http://www.odis.be/lnk/PS_94,Edouard de Cuyper (1808-1884),F1N2,"de Cuyper, Edward"
94,http://www.odis.be/lnk/PS_94,Edouard de Cuyper (1808-1884),F1N5,"de Cuyper, Carolus"
94,http://www.odis.be/lnk/PS_94,Edouard de Cuyper (1808-1884),F4N1,"De Cuijper, Edouard"
94,http://www.odis.be/lnk/PS_94,Edouard de Cuyper (1808-1884),F4N2,"De Cuijper, Edward"
94,http://www.odis.be/lnk/PS_94,Edouard de Cuyper (1808-1884),F4N5,"De Cuijper, Carolus"
